,item_id,titles
0,0,Death Note
1,1,Shingeki no Kyojin
2,2,Sword Art Online
3,3,Fullmetal Alchemist: Brotherhood
4,4,One Punch Man
5,5,Tokyo Ghoul
6,6,Steins;Gate
7,7,Angel Beats!
8,8,Code Geass: Hangyaku no Lelouch
9,9,Naruto
10,10,No Game No Life
11,11,Mirai Nikki (TV)
12,12,Toradora!
13,13,Ao no Exorcist
14,14,Noragami
15,15,Sword Art Online II
16,16,Elfen Lied
17,17,Fairy Tail
18,18,Bleach
19,19,Boku no Hero Academia
20,20,Naruto: Shippuuden
21,21,Tengen Toppa Gurren Lagann
22,22,Code Geass: Hangyaku no Lelouch R2
23,23,Soul Eater
24,24,Fullmetal Alchemist
25,25,Akame ga Kill!
26,26,Another
27,27,Kill la Kill
28,28,Kimi no Na wa.
29,29,Psycho-Pass
30,30,Durarara!!
31,31,Clannad
32,32,Re:Zero kara Hajimeru Isekai Seikatsu
33,33,Highschool of the Dead
34,34,Hunter x Hunter (2011)
35,35,Shigatsu wa Kimi no Uso
36,36,One Piece
37,37,Cowboy Bebop
38,38,Boku dake ga Inai Machi
39,39,Sen to Chihiro no Kamikakushi
40,40,Tokyo Ghoul âA
41,41,Kiseijuu: Sei no Kakuritsu
42,42,Shingeki no Kyojin Season 2
43,43,Fate/Zero
44,44,Bakemonogatari
45,45,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
46,46,Death Parade
47,47,Nanatsu no Taizai
48,48,Neon Genesis Evangelion
49,49,Guilty Crown
50,50,Mahou Shoujo MadokaâMagica
51,51,Hataraku Maou-sama!
52,52,Boku no Hero Academia 2nd Season
53,53,Deadman Wonderland
54,54,Shokugeki no Souma
55,55,Clannad: After Story
56,56,Kono Subarashii Sekai ni Shukufuku wo!
57,57,High School DxD
58,58,Ansatsu Kyoushitsu
59,59,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
60,60,Chuunibyou demo Koi ga Shitai!
61,61,Kuroshitsuji
62,62,"Darker than Black: Kuro no Keiyakusha  TV (25 eps)  Apr 2007 - Sep 2007  577,841 members"
63,63,Sakurasou no Pet na Kanojo
64,64,Log Horizon
65,65,Noragami Aragoto
66,66,Samurai Champloo
67,67,Charlotte
68,68,Koe no Katachi
69,69,Suzumiya Haruhi no Yuuutsu
70,70,Dragon Ball Z
71,71,Hyouka
72,72,Ouran Koukou Host Club
73,73,Kaichou wa Maid-sama!
74,74,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
75,75,Kyoukai no Kanata
76,76,Zankyou no Terror
77,77,Nisekoi
78,78,Mononoke Hime
79,79,Owari no Seraph
80,80,Mob Psycho 100
81,81,Fate/Zero 2nd Season
82,82,Overlord
83,83,"K-On!  TV (13 eps)  Apr 2009 - Jun 2009  516,874 members"
84,84,Fate/stay night
85,85,Haikyuu!!
86,86,Kuroko no Basket
87,87,Howl no Ugoku Shiro
88,88,Baccano!
89,89,Tonari no Kaibutsu-kun
90,90,Magi: The Labyrinth of Magic
91,91,Black Bullet
92,92,Btooom!
93,93,Gintama
94,94,Zero no Tsukaima
95,95,Byousoku 5 Centimeter
96,96,Higurashi no Naku Koro ni
97,97,Black Lagoon
98,98,Dragon Ball
99,99,Ookami to Koushinryou
100,100,Boku wa Tomodachi ga Sukunai
101,101,Mahouka Koukou no Rettousei
102,102,Kono Subarashii Sekai ni Shukufuku wo! 2
103,103,Date A Live
104,104,Accel World
105,105,Hellsing Ultimate
106,106,Fate/stay night: Unlimited Blade Works
107,107,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
108,108,Gekkan Shoujo Nozaki-kun
109,109,D.Gray-man
110,110,Kimi ni Todoke
111,111,Ore no Imouto ga Konnani Kawaii Wake ga Nai
112,112,Shinsekai yori
113,113,Toki wo Kakeru Shoujo
114,114,FLCL
115,115,Tonari no Totoro
116,116,Mushishi
117,117,Toaru Majutsu no Index
118,118,Fairy Tail (2014)
119,119,Shokugeki no Souma: Ni no Sara
120,120,ReLIFE
121,121,High School DxD New
122,122,Golden Time
123,123,Claymore
124,124,Kokoro Connect
125,125,K
126,126,Ansatsu Kyoushitsu 2nd Season
127,127,Hellsing
128,128,Prison School
129,129,Koutetsujou no Kabaneri
130,130,Baka to Test to Shoukanjuu
131,131,Kore wa Zombie Desu ka?
132,132,NHK ni Youkoso!
133,133,Nichijou
134,134,Rosario to Vampire
135,135,Violet Evergarden
136,136,Boku no Hero Academia 3rd Season
137,137,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
138,138,LuckyâStar
139,139,Danshi Koukousei no Nichijou
140,140,Kekkai Sensen
141,141,Magi: The Kingdom of Magic
142,142,Trigun
143,143,InuYasha
144,144,Nisemonogatari
145,145,Kami nomi zo Shiru Sekai
